date__begin,date__end,module_name,clk_per,realops,latency,throughput,critpath,area_mux,area_func,area_logic,area_buffer,area_mem,area_rom,area_reg,area_fsm_reg,area_fsm_comb
1733536370,1733536554,Accelerator,2,178,4756,4758,1.819493,1276.6,1402.8,703,0,9724.1,0,3037.7,214,214
1733536651,1733536834,Accelerator,5,178,3348,3350,3.213033,1485.7,1718.2,756.7,0,9724.1,0,3638.9,225,225
1733536886,1733537086,Accelerator,4,178,3316,3318,3.747264,1464.1,1398.7,739,0,9724.1,0,3372.9,220,220
1733537168,1733537347,Accelerator,3,178,3252,3254,2.999452,1475.2,1291,741.2,0,9724.1,0,3287.8,209,209
1733537477,1733537664,Accelerator,2,178,4756,4758,1.819493,1276.6,1402.8,703,0,9724.1,0,3037.7,214,214
1733538005,1733538195,Accelerator,1,178,4772,4774,1.255196,1307.5,1672.3,842.2,0,9724.1,0,2915.4,214,214
1733538942,1733539121,Accelerator,2,178,4756,4758,1.819493,1276.6,1402.8,703,0,9724.1,0,3037.7,214,214
1733540436,1733540620,Accelerator,2,177,4761,4766,1.8194929999999998,1279.4,1402.0,668.2,0.0,9724.1,0.0,3447.4,225.0,225.0
